professor_name,lecture_name,aspect,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,like,semester,rate,index,url_id,duplicated,duplicated_id,cnt,label,score
Jordan Jamie Green,영어듣기연습,수업,9745.5,4765.5,13453.5,0.0,20.0,100.0,0.5,2100233.0,1.0,4228.5,2.5,,1.0
Jordan Jamie Green,영어듣기연습,시험,9744.0,4764.0,13452.0,0.0,20.0,100.0,0.0,2100233.0,1.0,4228.0,2.0,,1.0
Jordan Jamie Green,영어듣기연습,학점,9747.0,4767.0,13455.0,0.0,20.0,100.0,1.0,2100233.0,1.0,4229.0,1.0,,1.0
Julian Kibum Chung,English Listening Practice 1,과제,5007.0526315789475,551.2631578947369,10085.78947368421,0.21052631578947367,19.36842105263158,74.73684210526316,19.0,1628708.0,1.0,2175.2105263157896,1.368421052631579,0.0,0.3157894736842105
Julian Kibum Chung,English Listening Practice 1,교수,5004.923076923077,791.0769230769231,10082.307692307691,0.8461538461538461,19.46153846153846,80.0,17.615384615384617,1628708.0,1.0,2174.3076923076924,1.0,0.5,0.6153846153846154
Julian Kibum Chung,English Listening Practice 1,수업,5017.130434782609,686.695652173913,10098.391304347826,0.4782608695652174,18.91304347826087,76.52173913043478,24.17391304347826,1628708.0,1.0,2179.913043478261,2.3043478260869565,0.6,0.2608695652173913
Julian Kibum Chung,English Listening Practice 1,시험,5016.222222222223,36.22222222222222,10095.611111111111,0.5,19.11111111111111,83.33333333333333,23.38888888888889,1628708.0,1.0,2179.5555555555557,1.5555555555555556,0.3333333333333333,0.16666666666666666
Julian Kibum Chung,English Listening Practice 1,학점,5027.923076923077,431.0,10114.923076923076,0.6923076923076923,18.53846153846154,76.92307692307692,30.846153846153847,1628708.0,1.0,2185.076923076923,2.0,-0.3333333333333333,0.8461538461538461
Julian Kibum Chung,English Listening Practice 2,수업,6291.0,1311.0,13973.0,0.0,17.0,80.0,4.0,1703329.0,1.0,2746.0,2.0,,0.0
Julian Kibum Chung,English Listening Practice 2,학점,6290.0,1310.0,13973.0,0.0,17.0,80.0,4.0,1703329.0,1.0,2746.0,1.0,,0.0
Julian Kibum Chung,English Reading Practice 1,과제,7248.5,2268.5,16155.5,0.5,20.0,70.0,4.5,1788467.0,1.0,3166.5,1.0,,0.5
Julian Kibum Chung,English Reading Practice 1,교수,7247.0,2267.0,16151.0,1.0,20.0,100.0,3.0,1788467.0,1.0,3166.0,1.0,,0.0
Julian Kibum Chung,English Reading Practice 1,수업,7251.0,2271.0,16157.5,1.0,20.0,100.0,5.5,1788467.0,1.0,3167.0,2.5,,0.5
Julian Kibum Chung,English Reading Practice 1,시험,7248.0,2268.0,16151.333333333334,0.3333333333333333,20.0,80.0,2.6666666666666665,1788467.0,1.0,3166.0,1.6666666666666667,,0.3333333333333333
Julian Kibum Chung,English Reading Practice 1,학점,7251.0,2271.0,16156.0,0.0,20.0,100.0,4.0,1788467.0,1.0,3167.0,2.0,,1.0
Julian Kibum Chung,영어듣기연습,과제,1914.0,1914.0,13464.0,0.0,20.0,100.0,3.0,537068.0,1.0,842.0,1.0,,1.0
Julian Kibum Chung,영어듣기연습,시험,1915.0,1915.0,13464.0,0.0,20.0,100.0,3.0,537068.0,1.0,842.0,2.0,,1.0
Kyle F McCullagh,English Listening Practice 1,과제,5161.941176470588,181.94117647058823,9716.5625,0.1875,19.1875,100.0,14.941176470588236,1628713.0,1.0,2247.0,1.411764705882353,1.0,0.7647058823529411
Kyle F McCullagh,English Listening Practice 1,교수,5172.722222222223,192.72222222222223,9733.29411764706,0.11764705882352941,18.58823529411765,97.77777777777777,21.166666666666668,1628713.0,1.0,2251.6666666666665,1.0,,0.9444444444444444
Kyle F McCullagh,English Listening Practice 1,수업,5173.652173913043,193.65217391304347,9733.739130434782,0.08695652173913043,18.304347826086957,98.26086956521739,21.17391304347826,1628713.0,1.0,2252.0434782608695,2.4782608695652173,1.0,0.9130434782608695
Kyle F McCullagh,English Listening Practice 1,시험,5173.7,193.7,9734.2,0.2,18.2,100.0,21.4,1628713.0,1.0,2252.2,2.1,,0.7
Kyle F McCullagh,English Listening Practice 1,학점,5162.8,182.8,9714.888888888889,0.2222222222222222,19.333333333333332,98.0,15.3,1628713.0,1.0,2247.1,2.6,1.0,0.9
Kyle F McCullagh,영어발음연습,과제,8678.857142857143,3698.8571428571427,13405.142857142857,0.0,19.571428571428573,77.14285714285714,6.428571428571429,1950641.0,1.0,3778.8571428571427,1.1428571428571428,,0.42857142857142855
Kyle F McCullagh,영어발음연습,교수,8680.0,3700.0,13411.333333333334,0.0,19.0,73.33333333333333,9.333333333333334,1950641.0,1.0,3780.0,1.0,,0.3333333333333333
Kyle F McCullagh,영어발음연습,수업,8677.6,3697.6,13404.6,0.0,19.6,72.0,5.8,1950641.0,1.0,3778.6,2.4,,0.6
Kyle F McCullagh,영어발음연습,시험,8675.0,3695.0,13401.333333333334,0.0,19.666666666666668,73.33333333333333,4.666666666666667,1950641.0,1.0,3777.3333333333335,2.3333333333333335,,0.6666666666666666
Kyle F McCullagh,영어발음연습,학점,8680.5,3700.5,13409.0,0.0,19.25,75.0,8.5,1950641.0,1.0,3779.75,2.5,,0.25
Kyle F McCullagh,영어읽기연습,수업,9914.0,4934.0,13434.0,0.0,20.0,100.0,1.0,2183798.0,1.0,4303.0,2.0,,1.0
Kyle F McCullagh,영어읽기연습,학점,9915.0,4935.0,13434.0,0.0,20.0,100.0,1.0,2183798.0,1.0,4303.0,1.0,,1.0
Mamta AGIWAL,데이터통신,과제,9255.5,4275.5,4423.5,3.0,20.0,20.0,2.5,2100038.0,1.0,4023.5,1.5,,0.0
Mamta AGIWAL,데이터통신,교수,9254.0,4274.0,4423.0,3.0,20.0,20.0,2.0,2100038.0,1.0,4023.0,1.0,,0.0
Mamta AGIWAL,데이터통신,시험,9257.333333333334,4277.333333333333,4424.0,3.0,20.0,20.0,2.6666666666666665,2100038.0,1.0,4024.0,2.0,,0.0
Mamta AGIWAL,데이터통신,학점,9257.5,4277.5,4424.0,3.0,20.0,20.0,2.5,2100038.0,1.0,4024.0,3.0,,0.0
Maria Choe,English Listening Practice 1,과제,8486.666666666666,3506.6666666666665,9947.0,0.6666666666666666,20.0,53.333333333333336,2.0,1950594.0,1.0,3696.3333333333335,1.3333333333333333,,-0.3333333333333333
Maria Choe,English Listening Practice 1,교수,8491.666666666666,3511.6666666666665,9960.333333333334,1.3333333333333333,19.666666666666668,66.66666666666667,6.333333333333333,1950594.0,1.0,3698.3333333333335,1.0,,-0.6666666666666666
Maria Choe,English Listening Practice 1,수업,8491.0,3511.0,9958.666666666666,0.3333333333333333,19.666666666666668,60.0,5.666666666666667,1950594.0,1.0,3698.3333333333335,2.0,,0.3333333333333333
Maria Choe,English Listening Practice 1,학점,8488.666666666666,3508.6666666666665,9953.333333333334,1.0,20.0,46.666666666666664,4.0,1950594.0,1.0,3697.0,1.6666666666666667,,0.0
Maria Choe,English Reading Practice 1,과제,7344.5,2364.5,15968.0,0.0,19.5,90.0,5.0,1788476.0,1.0,3208.0,2.0,,0.5
Maria Choe,English Reading Practice 1,교수,7350.666666666667,2370.6666666666665,15977.166666666666,0.0,18.5,63.333333333333336,9.166666666666666,1788476.0,1.0,3210.3333333333335,1.0,,0.6666666666666666
Maria Choe,English Reading Practice 1,수업,7348.333333333333,2368.3333333333335,15976.666666666666,0.0,18.666666666666668,100.0,8.666666666666666,1788476.0,1.0,3209.3333333333335,2.6666666666666665,,0.6666666666666666
Maria Choe,English Reading Practice 1,시험,7349.666666666667,2369.6666666666665,15977.333333333334,0.0,18.333333333333332,60.0,9.333333333333334,1788476.0,1.0,3210.0,1.6666666666666667,,0.3333333333333333
Maria Choe,English Reading Practice 1,학점,7352.5,2372.5,15981.5,0.0,18.5,60.0,10.5,1788476.0,1.0,3211.0,2.5,,1.0
Maria Choe,English Writing 2,과제,2705.777777777778,2705.777777777778,15644.111111111111,0.0,17.333333333333332,48.888888888888886,12.0,857479.0,1.0,1179.888888888889,1.1111111111111112,,0.2222222222222222
Maria Choe,English Writing 2,교수,2703.5,2703.5,15636.5,0.0,18.5,60.0,8.5,857479.0,1.0,1178.5,1.0,,0.5
Maria Choe,English Writing 2,수업,2711.25,2711.25,15656.0,0.0,17.0,55.0,15.0,857479.0,1.0,1182.0,2.5,,0.25
Maria Choe,English Writing 2,시험,2701.375,2701.375,15635.0,0.125,17.625,45.0,9.25,857479.0,1.0,1178.0,1.875,,0.375
Maria Choe,English Writing 2,학점,2702.2,2702.2,15638.2,0.2,17.4,40.0,10.2,857479.0,1.0,1178.4,2.2,,0.6
Mark Daniel Mechem,English Listening Practice 1,과제,8499.25,3519.25,10402.75,0.0,19.75,95.0,4.5,1950596.0,1.0,3702.5,1.0,,0.5
Mark Daniel Mechem,English Listening Practice 1,수업,8502.0,3522.0,10412.0,0.0,19.0,100.0,8.0,1950596.0,1.0,3704.0,2.0,,1.0
Mark Daniel Mechem,English Listening Practice 1,시험,8499.0,3519.0,10399.666666666666,0.0,20.0,93.33333333333333,3.3333333333333335,1950596.0,1.0,3702.0,2.0,,0.3333333333333333
Mark Daniel Mechem,English Reading Practice 1,과제,7388.777777777777,2408.777777777778,16083.611111111111,0.05555555555555555,18.88888888888889,64.44444444444444,11.833333333333334,1788478.0,1.0,3226.0555555555557,1.3333333333333333,,0.16666666666666666
Mark Daniel Mechem,English Reading Practice 1,교수,7395.5,2415.5,16091.25,0.0,18.5,50.0,15.375,1788478.0,1.0,3229.125,1.0,,0.0
Mark Daniel Mechem,English Reading Practice 1,수업,7384.8,2404.8,16078.0,0.4,19.2,80.0,8.8,1788478.0,1.0,3224.0,2.6,,-0.2
Mark Daniel Mechem,English Reading Practice 1,시험,7383.75,2403.75,16077.083333333334,0.0,19.25,73.33333333333333,8.75,1788478.0,1.0,3223.5,2.1666666666666665,,0.25
Mark Daniel Mechem,English Reading Practice 1,학점,7387.125,2407.125,16081.75,0.125,19.0,65.0,10.875,1788478.0,1.0,3225.375,2.875,,0.375
